,id,name,alter_name,address,ceo,main_ceo,company_status,resgiter_place,date_start,date_start_work,date_start_tk,clk,bank_account,description
0,1101876927,CÔNG TY TNHH QUỐC TẾ BEST CHOICE,"BEST CHOICE INTL CO., LTD","79C ấp Đức Hạnh 2, Xã Đức Lập Hạ, Huyện Đức Hoà, Long An",Nguyễn Thị Na,,Đang hoạt động (đã được cấp GCN ĐKT),Chi cục Thuế Huyện Đức Hoà,09/03/2018,09/03/2018,07/03/2018,754-194,,"Công ty có ngành nghề kinh doanh chính là ""Bán buôn thực phẩm"", do Chi cục Thuế Huyện Đức Hoà quản lý."
1,0108181383,CỤC THÔNG TIN CƠ SỞ,,"Số 18 Nguyễn Du, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội",Nguyễn Văn Tạo,Nguyễn Văn Tạo,Đang hoạt động (đã được cấp GCN ĐKT),Cục Thuế Thành phố Hà Nội,09/03/2018,10/05/2017,08/03/2018,027-345,,"Doanh nghiệp có ngành nghề kinh doanh chính là ""Hoạt động của  trụ sở văn phòng; hoạt động tư vấn quản lý"", do Cục Thuế Thành phố Hà Nội quản lý."
2,1402089803,CÔNG TY TNHH MTV ĐIỆN LẠNH HUY TIẾN PHÁT,CTY ĐIệN LạNH HUY TIếN PHáT,"Số 74A, Lê Đại Hành, Phường Mỹ Phú, Thành phố Cao Lãnh, Đồng Tháp",Nguyễn Công Nhu,Nguyễn Công Nhu,Đang hoạt động (đã được cấp GCN ĐKT),Chi cục Thuế Thành phố Cao Lãnh,09/03/2018,09/03/2018,07/03/2018,754-168,,"Công ty có ngành nghề kinh doanh chính là ""Lắp đặt hệ thống cấp, thoát nước, lò sưởi và điều hoà không khí"", do Chi cục Thuế Thành phố Cao Lãnh quản lý."
3,5000848462,CÔNG TY TNHH PHÁT TRIỂN THỰC PHẨM SẠCH THANH BÌNH,"THANH BINH TPS CO.,LTD","Thôn Khuân Tâm, Xã Lương Thiện, Huyện Sơn Dương, Tuyên Quang",Đoàn Thị Bình,Đoàn Thị Bình,Đang hoạt động (đã được cấp GCN ĐKT),Chi cục Thuế Huyện Sơn Dương,09/03/2018,09/03/2018,07/03/2018,754-000,,"Công ty có ngành nghề kinh doanh chính là ""Chăn nuôi lợn"", do Chi cục Thuế Huyện Sơn Dương quản lý."
4,2500599836,CÔNG TY TNHH TƯ VẤN VÀ THI CÔNG XÂY DỰNG MINH THÀNH,,"Số 63, Khu Chung cư Bảo Quân, Phường Khai Quang, Thành phố Vĩnh Yên, Vĩnh Phúc",Vũ Văn Trai,,Đang hoạt động (đã được cấp GCN ĐKT),Chi cục Thuế Thành phố Vĩnh Yên,09/03/2018,09/03/2018,09/03/2018,754-189,,"Công ty có ngành nghề kinh doanh chính là ""Hoạt động thiết kế chuyên dụng"", do Chi cục Thuế Thành phố Vĩnh Yên quản lý."
5,0901029967,CÔNG TY TNHH SUKEN VIỆT NAM,,"Thôn Phần Dương, Xã Đào Dương, Huyện Ân Thi, Hưng Yên",Bạch Hồng Phong,Bạch Hồng Phong,Đang hoạt động (đã được cấp GCN ĐKT),Chi cục Thuế Huyện Ân Thi,09/03/2018,09/03/2018,08/03/2018,754-093,,"Công ty có ngành nghề kinh doanh chính là ""Lắp đặt hệ thống điện"", do Chi cục Thuế Huyện Ân Thi quản lý."
6,0314908427,CÔNG TY TNHH WONWON E&amp;C,"WONWON E&C CO., LTD","26/2 Chánh Hưng, Xã Phước Lộc, Huyện Nhà Bè, TP Hồ Chí Minh",Lê Thị Giang,,Đang hoạt động (đã được cấp GCN ĐKT),Chi cục Thuế Huyện Nhà Bè,09/03/2018,07/03/2018,04/03/2018,754-161,,"Công ty có ngành nghề kinh doanh chính là ""Xây dựng nhà các loại"", do Chi cục Thuế Huyện Nhà Bè quản lý."
7,0314908339,CÔNG TY CỔ PHẦN THƯƠNG MẠI � NỘI THẤT THỜI ĐẠI,AGE FURNITURE � TRADING JOINT STOCK COMPANY,"36/35 Huỳnh Thiện Lộc, Phường Hoà Thạnh, Quận Tân phú, TP Hồ Chí Minh",Nguyễn Duy Chương,,Đang hoạt động (đã được cấp GCN ĐKT),Chi cục thuế Quận Tân phú,09/03/2018,07/03/2018,05/03/2018,754-194,,"Công ty có ngành nghề kinh doanh chính là ""Bán buôn đồ dùng khác cho gia đình"", do Chi cục thuế Quận Tân phú quản lý."
8,0314907920,CÔNG TY TNHH DỊCH VỤ NHÀ HÀNG GIA HUY,"GIA HUY RESTAURANT CO., LTD","242/3A Đường Cô Giang, Phường 02, Quận Phú Nhuận, TP Hồ Chí Minh",Lê Đức Tánh,,Đang hoạt động (đã được cấp GCN ĐKT),Chi cục Thuế Quận Phú Nhuận,09/03/2018,07/03/2018,07/03/2018,754-313,,"Công ty có ngành nghề kinh doanh chính là ""Nhà hàng và các dịch vụ ăn uống phục vụ lưu động"", do Chi cục Thuế Quận Phú Nhuận quản lý."
9,0108180164,CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN ASEAN VIỆT NAM,ASEAN VIET NAM INVESTMENT DEVELOPMENT COMPANY LIMITED,"Số nhà số 1 ngõ 158 phố Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Ngô Thị Lan,,Đang hoạt động (đã được cấp GCN ĐKT),Chi cục Thuế Quận Cầu Giấy,09/03/2018,08/03/2018,05/03/2018,754-505,,"Công ty có ngành nghề kinh doanh chính là ""Giáo dục nghề nghiệp"", do Chi cục Thuế Quận Cầu Giấy quản lý."
